gdid,labels
613293107,1
613293108,1
613293177,1
613293199,9
613293341,2
613293407,1
613293444,1
613293445,1
613294121,1
613294134,1
613294150,1
613294175,4
613294282,4
613294283,4
613294471,4
613294518,4
613294524,4
613294576,0
613294577,0
613294579,2
613294674,2
613294701,3
613294713,1
613294794,0
613294795,0
613294796,0
613295361,2
613295666,1
613295678,1
613295748,2
613295749,2
613295780,2
613295782,2
613295814,2
613295818,2
613295895,2
613295947,2
613295948,2
613295977,2
613296027,2
613296029,2
613296130,3
613296140,3
613296336,1
613296337,1
613296345,2
613296792,2
613296803,2
613296837,2
613296890,4
613296891,1
613296897,2
613296899,2
613296900,2
613297055,2
613297145,2
613297187,2
613297221,2
613297637,1
613297655,1
613297787,2
613297968,2
613297969,2
613298487,2
613298494,1
613298529,2
613298548,1
613298643,2
613298644,2
613298651,1
613298699,2
613298700,2
613298701,2
613298747,1
613298748,1
613298772,9
613298790,9
613298791,9
613298813,2
613298883,4
613298885,1
613298929,9
613299568,4
613299666,2
613299667,2
613299687,4
613299904,2
613299950,4
613300144,2
613300268,1
613300269,1
613300306,4
613300332,2
613300362,1
613300867,2
613300868,2
613300874,2
613300875,2
613300876,2
613300946,1
613301072,2
613301084,4
613301191,4
613301192,4
613301219,3
613301317,2
613301318,2
613301455,3
613301456,3
613301503,1
613301504,1
613301529,2
613301530,1
613301543,1
613302119,2
613302120,2
613302135,2
613302136,2
613302137,2
613302156,2
613302193,2
613302215,1
613302232,1
613302233,1
613302311,1
613302532,2
613302533,2
613302534,2
613302649,2
613302680,2
613302681,2
613302689,2
613302701,1
613302738,1
613302858,3
613302867,3
613302868,3
613302871,3
613302926,1
613303003,2
613303041,1
613303048,1
613303682,1
613303696,4
613304114,2
613304123,2
613304131,2
613304194,2
613304200,2
613304242,1
613304243,1
613304279,3
613304280,3
613304419,2
613305106,1
613305129,2
613305613,1
613305642,1
613305648,2
613305649,2
613305661,2
613305664,2
613305665,2
613305754,1
613305804,1
613305805,1
613305806,1
613305807,1
613305808,1
613305809,1
613306835,2
613306872,1
613306959,1
613307058,1
613307059,1
613307093,1
613307218,2
613310652,4
613310755,2
613311739,2
613311863,2
613311917,2
613312142,7
613312143,7
613312144,7
613312160,7
613312161,7
613312261,7
613312359,4
613312500,2
613312630,3
613312771,7
613312772,7
613312773,7
613313635,2
613313643,9
613313684,1
613313929,1
613313930,1
613313956,1
613313959,1
613313960,1
613314021,4
613314022,4
613314027,2
613314208,1
613314364,1
613314372,1
613314588,1
613314589,1
613315496,1
613315553,3
613315572,1
613315573,1
613315644,1
613315756,2
613315757,2
